,Name,IMDB Rating,Duration,Year,Age,Subtitles Available,Genres,Subtitles
3701,Gemini,6.2,156 min,2002,All Ages,CC,"Action/Adventure: Crime, Drama: Crime, Drama: Romance, World Cinema: Indian",English [CC]
3702,Challenge – 2,5.6,154 min,2010,13+,,"Action/Adventure: Crime, Drama: Comedy, World Cinema: Indian",
3703,Journey to the Center of the Earth,2.8,80 min,1988,7+,CC,Action/Adventure,English
3704,Gaddaar,8.1,130 min,1973,All Ages,,"Action/Adventure: Crime, Bollywood: Action/Adventure, Bollywood: Drama, Drama: Bollywood, Drama: Crime, Drama: Thriller, World Cinema: Indian",
3705,Don,5.4,144 min,2007,18+,,"Action/Adventure, World Cinema: Indian",
3706,Copper Canyon,6.3,83 min,1950,NR,CC,"Action/Adventure: Crime, Western",English
3707,Agent Vinod,5.7,144 min,1977,All Ages,CC,"Action/Adventure: Espionage & Spies, Bollywood: Action/Adventure, World Cinema: Indian",English
3708,Alibaba Marjinaa,5.8,154 min,1977,All Ages,CC,"Action/Adventure: Sci-fi/Fantasy, Bollywood: Action/Adventure, Bollywood: Drama, Drama: Bollywood, Drama: Period, World Cinema: Indian",English [CC]
3709,Hum Se Na Takrana,5.0,143 min,2036,All Ages,,"Action/Adventure: Crime, Bollywood: Action/Adventure, Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian",
3710,Khilari,7.1,138 min,1968,All Ages,,"Action/Adventure: Espionage & Spies, Bollywood: Action/Adventure, World Cinema: Indian",
3711,Himmat,4.6,163 min,1996,All Ages,,"Action/Adventure: Crime, Bollywood: Action/Adventure, Drama: Crime, World Cinema: Indian",
3712,Guru,5.8,162 min,2003,All Ages,,"Action/Adventure: Crime, Drama, World Cinema: Indian",
3713,Hukumat,6.7,148 min,1987,18+,,"Action/Adventure: Crime, Bollywood: Action/Adventure, Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian",
3714,Hulchul,4.5,159 min,1995,18+,CC,"Action/Adventure: Crime, Bollywood: Action/Adventure, Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian",English
3715,Ilaaka,5.6,154 min,1989,13+,,"Action/Adventure: Crime, Bollywood: Action/Adventure, Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian",
3716,Vansh,6.0,161 min,1992,All Ages,,"Action/Adventure, Drama: Romance, World Cinema: Indian",
